Organization Name,Community Food Programming,Cultural Food Preservation/Heritage,Monetary Food Assistance,Food System Education,Gardening Education,Gardening Supplies,Grocery Distribution,Nutrition Education,Prepared Food Distribution ,Youth Food Education,Produce Distribution,Home Delivered Meals ,Food Affordability,Food Connector,Notes,Website,Location,Phone Number,Distribution Times
La Mesa Verde,,,,,y,y,,y,,,,,,,"little information about programs is available online, need to clarify through email",,,,
Garden to Table,,,,,"Volunteer days, Taylor Street Community Compost Hub, Grow at Home, Microgreen Growing Program","Grow at Home, Microgreen Growing Program",,,,ABC's of Farming,Harvest Box Distribution,,,,,https://www.garden2tablesv.org/,"200 W. Taylor St. San Jose, CA 95110",,
Sacred Heart Community Service,,,,,,,Three-day supplemental grocery supply (non-perishable + fresh produce),,Prepared food for homeless,,,,,,,https://www.sacredheartcs.org/,"1381 South First Street
San Jose, CA 95110",(408) 278-2160,
Second Harvest Food Bank,,,,,,,,,,,,,,,,,,,
Food Not Bombs,,,,,,,,,Free vegan/vegetarian meal distribution,,,,,,,https://foodnotbombs.net/new_site/,,,
Plant and Soul California ,,,,,Hester Farm,,,,,,,,,,,,"Plant & Soul California
76 Race Street
San Jose, CA 95126",,
SJSU Community Garden ,,,,,"volunteer days, class/organization visits, garden events",,,,,,y,,,,,https://plantandsoul.org/,,,
The Forge Garden ,"Weekend workshops, volunteer work days",,,,"Weekend workshops, volunteer work days, Garden How-To's","Plant sale, Seed swap",,"Weekend workshops, Recipe Book, Glean Team",,,,,,,,,,,
Fresh Approach ,,,,,East Palo Alto Community Garden,East Palo Alto Community Garden,,VeggieRx Nutrition Program,,,,,"Fruit & Veggie Savings Program, VeggieRx Vouchers",,,,,,
UC Master Gardeners ,,,,,"educational workshops, garden consultation, community demonstrations",,,,,Teaches horticultural skills to youth and adults in detention centers,,,,,,,,,
Guadalupe River Park Conservancy ,,,,,Guadalupe Community Gardens Master Gardener Plot,Guadalupe Community Garden,,,,,,,,,,,,,
San Jose Garden Club ,,,,,Gardener support events,Organic Soil Amendment for compost,,,,,,,,,,,,,
Martha's Kitchen ,,,,,,,"Martha's Community Market, once a month by appointment",,Indoor Dining,,,,,"Partner with over 60 nonprofits, schools, and faith-based organizations to provide food. In the planning phase of building an expanded Food Hub site.",,,,,
Veggielution ,1st Saturdays,Growing AgriCultural Roots,,,,,,,,"Youth Garden Activities, Dig Crew",Del Campo a la Mesa,,,,,,,,
Loaves & Fishes ,,,,,,,Jerry Larson Food Basket (fresh produce + non-perishable),Medically tailored meals and nutrition services to Medi-Cal clients with chronic health conditions/who have been discharged from the hospital,"Community Meals seven days a week in San Jose/Morgan Hill, Meals on Wheels for homebound seniors, Medically Tailored Meals to to Medi-Cal clients with health conditions, Jerry Larson Food Basket, A La Carte Food Recovery Program",,,,,"Community Meals (provide over 20,000 more prepared meals to guests at low-income senior retirement centers, community centers, schools, shelters, transitional housing, and after-school programs)",,,,,
Reaching Out,,,,,,,"Wednesdays + Thursdays, 9am-12:00pm at Cathedral of Faith (non-perishable + fresh produce)",,,,,,,,,,,,
Milpitas Food Pantry ,,,,,,,,,,,,,,,,,,,
Meals on Wheels ,,,,,,,,,,,,,,,,,,,
Senior Nutrition Program,,,,,,,,,,,,,,,,,,,
Food Shift ,,,,,,,,,,,,,,,,,,,
Saint Claire Parish ,,,,,,,,,,,,,,,,,,,
The Salvation Army,,,,,,,,,,,,,,,,,,,
St. Martin of Tours Church,,,,,,,,,,,,,,,,,,,
Cypress Community and Senior Center,,,,,,,,,,,,,,,,,,,
Abraham Lincoln High School,,,,,,,,,,,,,,,,,,,
Westminster Presbyterian Church,,,,,,,,,,,,,,,,,,,
Sunnyvale Community Services,,,,,,,,,,,,,,,,,,,
Mission College,,,,,,,,,,,,,,,,,,,
San Jose City College,,,,,,,,,,,,,,,,,,,
St. Leo the Great Catholic Church,,,,,,,,,,,,,,,,,,,
Goodwill of Silicon Valley,,,,,,,,,,,,,,,,,,,
Verbo South Bay - Moorpark,,,,,,,,,,,,,,,,,,,
Crossroads Bible Church,,,,,,,,,,,,,,,,,,,
CityTeam ,,,,,,,,,,,,,,,,,,,
Yu-Ai Kai at the Buddhist Church,,,,,,,,,,,,,,,,,,,
Bethel Church,,,,,,,,,,,,,,,,,,,
Wesley United Methodist Church,,,,,,,,,,,,,,,,,,,
African American Community Services,,,,,,,,,,,,,,,,,,,
Trinity Episcopal Cathedral,,,,,,,,,,,,,,,,,,,
Antioch Baptist Church,,,,,,,,,,,,,,,,,,,
Orchard School District,,,,,,,,,,,,,,,,,,,
Community Outreach Ministry Endeavor,,,,,,,,,,,,,,,,,,,
Campbell United Methodist Church,,,,,,,,,,,,,,,,,,,
Lighthouse Food Rescue and Distribution,,,,,,,,,,,,,,,,,,,
West Valley Presbyterian Church,,,,,,,,,,,,,,,,,,,
Indian Health Center of SCV,,,,,,,,,,,,,,,,,,,
Sunday Friends Foundation,,,,,,,,,,,,,,,,,,,
Santa Maria Urban Ministry of San Jose,,,,,,,,,,,,,,,,,,,
Columbia Neighborhood Center,,,,,,,,,,,,,,,,,,,
West Valley Community Services,,,,,,,,,,,,,,,,,,,
Hunger at Home,,,,,,,,,,,,,,,,,,,
Rahima Foundation,,,,,,,,,,,,,,,,,,,
Willow Glen United Methodist Church,,,,,,,,,,,,,,,,,,,
Washington United Youth Center,,,,,,,,,,,,,,,,,,,
Portuguese Organization for Social Services and Opportunities ,,,,,,,,,,,,,,,,,,,
El Buen Pastor Food Pantry,,,,,,,,,,,,,,,,,,,
CalFresh,,,,,,,,,,,,,,,,,,,
Market Match ,,,,,,,,,,,,,,,,,,,
CalWORKs,,,,,,,,,,,,,,,,,,,
WIC,,,,,,,,,,,,,,,,,,,
California Food Assistance Program ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Additional Food Pantries in SJ: ,,,,,,,,,,,,,,,,,,,
Cathedral of Faith,,,,,,,,,,,,,,,,,,,
Korean American Community Services of Silicon Valley Brown Bag Distribution,,,,,,,,,,,,,,,,,,,
Most Holy Trinity Church ,,,,,,,,,,,,,,,,,,,
St. James African Methodist Episcopal Church ,,,,,,,,,,,,,,,,,,,
St. Victor's Food Pantry Ministry ,,,,,,,,,,,,,,,,,,,
St. Christopher Parish and School ,,,,,,,,,,,,,,,,,,,
Village Harvest ,,,,,,,,,,,,,,,,,,,
ChangeLab Solutions,,,,,,,,,,,,,,,,,,,
Silicon Valley Health Corps,,,,,,,,,,,,,,,,,,,
The Food Trust,,,,,,,,,,,,,,,,,,,
Anew America,,,,,,,,,,,,,,,,,,,
Working Partnerships ,,,,,,,,,,,,,,,,,,,
CommUniverCity,,,,,,,,,,,,,,,,,,,
Committee for Green Foothills,,,,,,,,,,,,,,,,,,,
Greenbelt Alliance ,,,,,,,,,,,,,,,,,,,
